Team,Played,Won,Lost,Points,Score Diff
Big Dawgs,4,3,1,3,+5
PeakE Blinders,4,2,2,2,+1
SPD,4,2,2,2,0
Anarchy,4,2,2,2,-2
C-suite,4,0,4,0,-6
