Match No,Team 1,Team 2,Date,Time
1,Anarchy,Big Dawgs,30-Nov-2025,10:00 AM
2,C-suite,SPD,30-Nov-2025,10:00 AM
3,Anarchy,C-suite,30-Nov-2025,10:45 AM
4,Big Dawgs,PeakE Blinders,30-Nov-2025,10:45 AM
5,Anarchy,SPD,30-Nov-2025,11:30 AM
6,C-suite,PeakE Blinders,30-Nov-2025,11:30 AM
7,Anarchy,PeakE Blinders,30-Nov-2025,12:15 PM
8,Big Dawgs,SPD,30-Nov-2025,12:15 PM
9,Big Dawgs,C-suite,30-Nov-2025,4:00 PM
10,SPD,PeakE Blinders,30-Nov-2025,4:00 PM
