Match No,Team 1,Team 2,Winner,Score
1,Anarchy,Big Dawgs,Anarchy,1-0
2,Anarchy,C-suite,Draw,0.5-0.5
3,Anarchy,SPD,Anarchy,1-0
4,Anarchy,PeakE Blinders,Anarchy,1-0
5,Big Dawgs,C-suite,Big Dawgs,1-0
6,Big Dawgs,SPD,SPD,1-0
7,Big Dawgs,PeakE Blinders,PeakE Blinders,1-0
8,C-suite,SPD,C-suite,1-0
9,C-suite,PeakE Blinders,PeakE Blinders,1-0
10,SPD,PeakE Blinders,PeakE Blinders,1-0
