Team,Played,Won,Lost,Draw,Points
SPD,2,2,0,0,4
Peak-E-Blinders,3,2,1,0,4
Big Dawgs,3,2,1,0,4
Anarchy,2,0,2,0,0
C-Suite,2,0,2,0,0
