Match No,Team 1,Team 2,Date,Time
1,Big Dawgs,Peak-E-Blinders,2025-12-02,18:00:00
2,C-Suite,Anarchy,2025-12-02,18:45:00
3,SPD,Peak-E-Blinders,2025-12-02,19:30:00
4,Anarchy,Big Dawgs,2025-12-02,20:15:00
5,C-Suite,SPD,2025-12-02,21:00:00
