Match No,Team 1,Team 2,Winner,Set 1,Set 2,Set 3,Final Score
7,C-Suite,Peak-E-Blinders,Peak-E-Blinders,15-10,4-15,13-15,1-2
6,Peak-E-Blinders,Anarchy,Peak-E-Blinders,15-9,9-15,17-15,2-1
8,Big Dawgs,SPD,SPD,15-10,11-15,14-16,1-2
9,Big Dawgs,C-Suite,Big Dawgs,20-18,15-5,-,2-0
10,Anarchy,SPD,SPD,6-15,15-13,15-17,1-2
League,Big Dawgs,Peak-E-Blinders,Big Dawgs,13-15,15-12,16-14,2-1
