Match No,Team 1,Team 2,Date,Time
1,C-suite,PeakE Blinders,30-Nov-2025,4:00 PM
2,Anarchy,SPD,30-Nov-2025,4:00 PM
3,C-suite,Big Dawgs,30-Nov-2025,5:45 PM
4,SPD,PeakE Blinders,30-Nov-2025,5:45 PM
5,Big Dawgs,Anarchy,30-Nov-2025,7:30 PM
6,SPD,PeakE Blinders,03-Dec-2025,TBD
7,Big Dawgs,Winner of Match 6,03-Dec-2025,TBD
