Match No,Team 1,Team 2,Winner,Score
1,C-suite,PeakE Blinders,PeakE Blinders,1-2
2,Anarchy,SPD,SPD,0-2
3,C-suite,Big Dawgs,Big Dawgs,0-2
4,SPD,PeakE Blinders,SPD,2-1
5,Big Dawgs,Anarchy,Big Dawgs,2-0
