Match No,Team 1,Team 2,Winner,Score 1,Score 2,Result
League,C-Suite,SPD,SPD,NA,NA,SPD won by 5 wickets
League,Peak-E-Blinders,Anarchy,Anarchy,NA,NA,Anarchy won by 6 wickets
League,Big Dawgs,SPD,SPD,NA,NA,SPD won by 5 wickets
