Team,Played,Won,Lost,Draw,Points
Anarchy,2,1,1,0,2
Big Dawgs,2,2,0,0,4
C-Suite,2,2,0,0,4
SPD,2,0,2,0,0
Peak-E-Blinders,2,0,2,0,0
