Match No,Team 1,Team 2,Winner,Set 1,Set 2,Set 3,Final Score
1,,BigDawg,Anarchy,11-Sep,11-Aug,-,2-0
2,C-Suite,SPD,C-Suite,09-Nov,11-May,08-Nov,01-Feb
