Match No,Team 1,Team 2,Date,Time
6,SPD,Peak-E-Blinders,2025-12-04,06:00:00
7,Big Dawgs,C-Suite,2025-12-04,06:30:00
8,Anarchy,SPD,2025-12-04,07:00:00
9,Big Dawgs,Peak-E-Blinders,2025-12-04,07:30:00
10,Anarchy,C-Suite,2025-12-04,08:00:00
League,Anarchy,Peak-E-Blinders,2025-12-05,5:45 PM - 6:15 PM
Final,C-Suite,Winner of Semi Finals,2025-12-05,6:30 PM - 7:00 PM
